,2015년,2016년,2017년,2018년,2019년
0,83010.125,83719.54166666667,83277.125,78280.97916666667,77161.25
1,128252.83333333333,130425.5,129837.91665833334,123237.13888333332,121026.49998000001
2,45920.229166666664,47550.895833333336,48320.114583333336,40572.572916666664,40291.3
3,23942.833333333332,23391.333333333332,23402.25,22364.083333333332,21431.3
4,38259.375,38746.145833333336,39192.354166666664,40915.6875,37857.725
5,23030.333333333332,22963.75,22695.833333333332,17229.75,18041.6
6,36991.833333333336,36798.0,36578.5,35754.083333333336,36903.0
7,36160.0,36554.083333333336,36456.0,32196.5,32128.1
8,41847.166666666664,42017.0,41742.166666666664,35641.416666666664,32085.4
9,12156.833333333334,13235.083333333334,14066.5,14966.583333333334,15496.5
10,13566.666666666666,14294.5,14442.833333333334,14701.25,15069.1
11,21866.0,20910.375,18972.958333333332,15318.791666666666,15163.9
12,28888.916666666668,29062.208333333332,28149.291666666668,22357.708333333332,20512.4
13,22355.333333333332,22446.0,21796.166666666668,21128.875,20796.15
